,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Change,Gain,Loss,bol_middle_band,bol_upper_band,bol_lower_band,rsi,ema10,momemntum,rate of change,ema14
24,24,24,24,24,24,2017-04-21,60.400001525878906,61.27999877929688,60.08399963378906,61.119998931884766,22549000,0,0.0,0.6180000305175781,0.6180000305175781,0.0,58.801499938964845,64.40259400312073,53.20040587480896,65.28212392978602,59.68830934154647,0.61199951171875,6011.999893188477,59.68830934154647
25,25,25,25,25,25,2017-04-24,61.84400177001953,62.11000061035156,61.20399856567383,61.60599899291992,25417500,0,0.0,0.48600006103515625,0.48600006103515625,0.0,59.25019989013672,64.19514602470122,54.305253755572224,56.647558525681326,59.94400129506293,-0.8720016479492188,6060.599899291992,59.94400129506293
26,26,26,26,26,26,2017-04-25,61.59999847412109,62.79600143432617,61.172000885009766,62.757999420166016,33688500,0,0.0,1.1520004272460938,1.1520004272460938,0.0,59.685899925231936,64.23479681185853,55.13700303860534,56.99624561119513,60.319201045076674,1.0159988403320312,6175.799942016602,60.319201045076674
27,27,27,27,27,27,2017-04-26,62.4739990234375,62.900001525878906,61.79999923706055,62.03400039672852,23475000,0,0.0,-0.7239990234374929,0.0,0.7239990234374929,60.01309986114502,64.23384188836935,55.79235783392069,61.315828487185115,60.54784095863025,2.6660003662109446,6103.4000396728525,60.54784095863025
28,28,28,28,28,28,2017-04-27,62.3380012512207,62.61800003051758,61.5,61.72600173950195,17343000,0,0.0,-0.3079986572265696,0.0,0.3079986572265696,60.32559986114502,64.04727552467615,56.60392419761389,57.65376988794068,60.70492906274648,0.9260025024414062,6072.600173950195,60.70492906274648
29,29,29,29,29,29,2017-04-28,61.96599960327149,62.959999084472656,61.59999847412109,62.81399917602539,22527500,0,0.0,1.0879974365234375,1.0879974365234375,0.0,60.687099838256835,63.85389980988903,57.52029986662464,58.673085520505076,60.98613841118368,2.5260009765625,6181.399917602539,60.986138411183674
30,30,30,30,30,30,2017-05-01,62.97600173950195,65.44999694824219,62.96200180053711,64.56600189208984,44148000,0,0.0,1.7520027160644531,1.7520027160644531,0.0,61.13239994049072,63.808070016288355,58.45672986469309,57.98409764878005,61.46345354197117,4.516002655029297,6356.600189208984,61.46345354197117
31,31,31,31,31,31,2017-05-02,64.80000305175781,65.53199768066406,63.3120002746582,63.77799987792969,26914000,0,0.0,-0.7880020141601562,0.0,0.7880020141601562,61.336100006103514,64.16347502898851,58.508724983218514,57.754414084622454,61.77205972009897,2.673999786376953,6277.799987792969,61.77205972009897
32,32,32,32,32,32,2017-05-03,63.53400039672852,64.30599975585938,62.09000015258789,62.20399856567383,35667000,0,0.0,-1.5740013122558594,0.0,1.5740013122558594,61.40929985046387,64.2470518093414,58.571547891586334,61.502262577853465,61.82965156617563,1.7019996643066406,6120.399856567383,61.82965156617563
33,33,33,33,33,33,2017-05-04,61.48799896240234,61.55400085449219,58.152000427246094,59.09199905395508,70760000,0,0.0,-3.11199951171875,0.0,3.11199951171875,61.41389980316162,64.23610283995005,58.5916967663732,43.90348447787841,61.46463123121289,-2.0279998779296875,5809.199905395508,61.46463123121289
34,34,34,34,34,34,2017-05-05,59.59999847412109,61.709999084472656,59.36000061035156,61.66999816894531,40886500,0,0.0,2.5779991149902344,2.5779991149902344,0.0,61.510399627685544,64.22589451155872,58.79490474381236,54.29886729083658,61.49201348957721,0.06399917602539062,6066.999816894531,61.49201348957721
35,35,35,35,35,35,2017-05-08,62.18000030517578,62.757999420166016,61.16400146484375,61.4379997253418,35032500,0,0.0,-0.23199844360351562,0.0,0.23199844360351562,61.55689964294434,64.23329037838691,58.88050890750176,54.31914494566881,61.48481165434582,-1.3199996948242188,6043.79997253418,61.48481165434582
36,36,36,36,36,36,2017-05-09,61.8759994506836,64.39800262451172,61.81999969482422,64.25199890136719,48382500,0,0.0,2.8139991760253906,2.8139991760253906,0.0,61.64559955596924,64.54875723457243,58.742441877366055,58.828805715969374,61.85376995394867,2.2179985046386648,6325.199890136719,61.85376995394867
37,37,37,37,37,37,2017-05-10,64.31199645996094,65.0999984741211,63.624000549316406,65.04399871826172,28708000,0,0.0,0.7919998168945312,0.7919998168945312,0.0,61.810699462890625,65.07433698248586,58.54706194329539,62.60406367568506,62.27913378919041,3.3179969787597656,6404.399871826172,62.27913378919041
38,38,38,38,38,38,2017-05-11,64.68000030517578,65.19999694824219,63.91999816894531,64.62000274658203,23769000,0,0.0,-0.4239959716796875,0.0,0.4239959716796875,62.07329959869385,65.3538134867865,58.7927857106012,59.818236801953915,62.59124965017597,1.8060035705566406,6362.000274658203,62.59124965017597
39,39,39,39,39,39,2017-05-12,65.09600067138672,65.4000015258789,64.30599975585938,64.96199798583984,20608000,0,0.0,0.3419952392578125,0.3419952392578125,0.0,62.28139953613281,65.73770248468949,58.82509658757613,59.49095335774483,62.90734942826449,0.39599609375,6396.199798583984,62.90734942826449
40,40,40,40,40,40,2017-05-15,63.67599868774414,64.04000091552734,62.50600051879883,63.17599868774414,38110000,0,0.0,-1.7859992980957031,0.0,1.7859992980957031,62.42579956054688,65.77544063640318,59.07615848469057,51.14120221575029,62.943169329528445,-0.6020011901855469,6217.599868774414,62.943169329528445
41,41,41,41,41,41,2017-05-16,63.51800155639648,64.01200103759766,63.02799987792969,63.402000427246094,20762500,0,0.0,0.22600173950195312,0.22600173950195312,0.0,62.593399620056154,65.78055235337281,59.4062468867395,53.83924776596209,63.00434680922413,1.1980018615722656,6240.200042724609,63.00434680922413
42,42,42,42,42,42,2017-05-17,62.87799835205078,62.92599868774414,61.09999847412109,61.22200012207031,33559500,0,0.0,-2.1800003051757812,0.0,2.1800003051757812,62.599299621582034,65.77570447556593,59.42289476759814,48.72002788558771,62.76670058427029,2.1300010681152344,6022.200012207031,62.76670058427029
43,43,43,43,43,43,2017-05-18,61.400001525878906,62.78799819946289,61.0620002746582,62.61199951171875,28269000,0,0.0,1.3899993896484375,1.3899993896484375,0.0,62.70479965209961,65.73055693880751,59.67904236539171,49.49474806292897,62.74607377459675,0.9420013427734375,6161.199951171875,62.74607377459675
